wavelength_nm,reflectance
1433.50,0.821689
1438.50,0.821332
1443.50,0.821574
1448.50,0.824511
1453.50,0.822893
1458.50,0.830322
1463.50,0.827730
1468.50,0.827288
1473.50,0.826551
1478.50,0.823427
1483.50,0.828925
1488.50,0.827399
1493.50,0.831339
1498.50,0.829965
1503.50,0.828023
1508.50,0.832696
1513.50,0.833528
1518.50,0.832056
1523.50,0.832717
1528.50,0.836629
1534.00,0.832059
1540.00,0.834198
1546.00,0.834070
1552.00,0.834861
1558.00,0.833345
1564.00,0.833975
1570.50,0.835527
1577.50,0.835304
1584.50,0.833494
1591.50,0.833557
1598.50,0.834060
1605.50,0.833843
1612.50,0.835249
1619.50,0.833684
1626.50,0.834194
1633.50,0.831644
1640.50,0.830697
1647.50,0.835438
1654.50,0.837809
1661.50,0.839127
1668.50,0.837540
1676.00,0.831787
1684.00,0.832007
1692.00,0.837608
1700.00,0.834293
1708.00,0.834238
1716.00,0.832601
1724.00,0.832680
1732.00,0.834174
1740.00,0.835153
1748.00,0.834896
1756.00,0.831814
1764.00,0.831856
1772.00,0.829661
1780.00,0.827024
1788.00,0.827983
1796.00,0.827578
1805.00,0.822393
1815.00,0.805346
1825.00,0.780819
1835.00,0.790922
1845.00,0.794957
1855.00,0.795097
1865.00,0.787383
1875.00,0.790175
1885.00,0.790736
1895.00,0.788439
1905.00,0.795779
1915.00,0.794054
1925.00,0.797462
1935.00,0.800641
1945.00,0.800453
1955.00,0.803176
1965.00,0.806256
1975.00,0.805252
1985.00,0.809994
1995.00,0.811718
2005.00,0.812635
2015.00,0.815816
2025.00,0.814004
2035.00,0.814811
2045.00,0.821088
2055.00,0.821053
2065.00,0.823698
2075.00,0.826692
2085.00,0.824258
2095.00,0.822934
2105.00,0.824123
2115.00,0.821883
2125.00,0.816098
2135.00,0.814260
2145.00,0.813476
2155.00,0.812318
2165.00,0.809302
2175.00,0.807807
2185.00,0.803466
2195.00,0.805730
2205.00,0.800492
2215.00,0.802819
2225.00,0.796558
2235.00,0.797773
2245.00,0.792580
2255.00,0.797891
2265.00,0.794062
2275.00,0.787787
2285.00,0.782281
2295.00,0.779805
2305.00,0.777846
2315.00,0.777020
2325.00,0.771130
2335.00,0.765366
2345.00,0.761132
2355.00,0.750173
2365.00,0.741215
2375.00,0.738151
2386.00,0.726961
2400.00,0.715879
2418.00,0.699592
2440.00,0.694660
2466.00,0.664124
2496.00,0.551207
2528.00,0.434068
2560.00,0.380048
2592.00,0.296830
2624.00,0.246628
2656.00,0.218194
2688.00,0.208648
2720.00,0.200547
2752.00,0.192441
2784.00,0.205290
