wavelength_nm,reflectance
1433.50,0.802073
1438.50,0.806588
1443.50,0.806778
1448.50,0.811098
1453.50,0.811845
1458.50,0.814882
1463.50,0.819018
1468.50,0.824301
1473.50,0.822059
1478.50,0.824864
1483.50,0.825888
1488.50,0.830690
1493.50,0.831155
1498.50,0.833781
1503.50,0.835232
1508.50,0.837465
1513.50,0.840859
1518.50,0.838784
1523.50,0.842737
1528.50,0.842690
1534.00,0.843862
1540.00,0.847637
1546.00,0.849719
1552.00,0.850628
1558.00,0.852690
1564.00,0.852504
1570.50,0.852511
1577.50,0.854472
1584.50,0.855078
1591.50,0.852294
1598.50,0.856230
1605.50,0.851931
1612.50,0.853130
1619.50,0.856485
1626.50,0.856711
1633.50,0.854825
1640.50,0.854324
1647.50,0.854395
1654.50,0.844831
1661.50,0.840004
1668.50,0.842076
1676.00,0.848849
1684.00,0.843321
1692.00,0.827567
1700.00,0.819616
1708.00,0.805691
1716.00,0.796707
1724.00,0.801654
1732.00,0.803201
1740.00,0.806463
1748.00,0.810250
1756.00,0.817105
1764.00,0.814855
1772.00,0.822795
1780.00,0.821696
1788.00,0.822099
1796.00,0.823724
1805.00,0.831474
1815.00,0.826076
1825.00,0.828038
1835.00,0.827465
1845.00,0.821680
1855.00,0.822112
1865.00,0.813909
1875.00,0.797504
1885.00,0.780766
1895.00,0.758853
1905.00,0.748842
1915.00,0.746134
1925.00,0.740901
1935.00,0.721685
1945.00,0.691246
1955.00,0.639756
1965.00,0.563126
1975.00,0.475258
1985.00,0.426708
1995.00,0.438100
2005.00,0.488561
2015.00,0.523038
2025.00,0.546927
2035.00,0.596238
2045.00,0.637982
2055.00,0.657296
2065.00,0.659407
2075.00,0.653485
2085.00,0.626984
2095.00,0.586258
2105.00,0.539566
2115.00,0.501233
2125.00,0.476213
2135.00,0.471025
2145.00,0.476500
2155.00,0.478538
2165.00,0.479940
2175.00,0.488781
2185.00,0.478224
2195.00,0.454133
2205.00,0.463774
2215.00,0.495590
2225.00,0.530439
2235.00,0.532479
2245.00,0.506235
2255.00,0.488068
2265.00,0.477958
2275.00,0.395944
2285.00,0.218625
2295.00,0.052146
2305.00,0.058572
2315.00,0.147410
2325.00,0.218539
2335.00,0.243946
2345.00,0.238578
2355.00,0.249426
2365.00,0.277552
