wavelength_nm,reflectance
1433.50,0.126733
1438.50,0.126099
1443.50,0.126216
1448.50,0.126927
1453.50,0.126195
1458.50,0.125074
1463.50,0.125029
1468.50,0.125195
1473.50,0.124692
1478.50,0.124901
1483.50,0.126673
1488.50,0.125101
1493.50,0.125697
1498.50,0.126809
1503.50,0.124990
1508.50,0.125058
1513.50,0.125106
1518.50,0.123362
1523.50,0.125271
1528.50,0.125815
1534.00,0.125155
1540.00,0.125350
1546.00,0.124092
1552.00,0.124452
1558.00,0.124332
1564.00,0.124953
1570.50,0.123245
1577.50,0.124917
1584.50,0.124262
1591.50,0.124070
1598.50,0.125676
1605.50,0.124208
1612.50,0.123895
1619.50,0.123552
1626.50,0.125009
1633.50,0.123677
1640.50,0.124127
1647.50,0.122453
1654.50,0.123221
1661.50,0.122803
1668.50,0.123703
1676.00,0.124308
1684.00,0.122498
1692.00,0.121018
1700.00,0.124612
1708.00,0.122516
1716.00,0.123332
1724.00,0.124653
1732.00,0.123539
1740.00,0.125074
1748.00,0.125903
1756.00,0.126475
1764.00,0.124249
1772.00,0.124281
1780.00,0.124180
1788.00,0.123689
1796.00,0.124701
1805.00,0.127684
1815.00,0.125234
1825.00,0.127949
1835.00,0.125140
1845.00,0.124606
1855.00,0.124437
1865.00,0.124197
1875.00,0.125648
1885.00,0.122996
1895.00,0.126398
1905.00,0.126082
1915.00,0.125001
1925.00,0.125562
1935.00,0.126509
1945.00,0.128874
1955.00,0.127265
1965.00,0.127682
1975.00,0.126859
1985.00,0.125395
1995.00,0.127076
2005.00,0.127344
2015.00,0.127867
2025.00,0.127708
2035.00,0.127377
2045.00,0.128167
2055.00,0.127784
2065.00,0.128256
2075.00,0.128091
2085.00,0.132709
2095.00,0.127948
2105.00,0.127082
2115.00,0.128335
2125.00,0.128228
2135.00,0.125389
2145.00,0.130695
2155.00,0.125531
2165.00,0.127817
2175.00,0.129876
2185.00,0.127943
2195.00,0.129051
2205.00,0.126478
2215.00,0.126701
2225.00,0.126385
2235.00,0.125233
2245.00,0.128535
2255.00,0.121512
2265.00,0.129229
2275.00,0.127915
2285.00,0.131008
2295.00,0.127921
2305.00,0.131023
2315.00,0.131784
2325.00,0.137487
2335.00,0.132402
2345.00,0.131126
2355.00,0.132578
2365.00,0.131817
2375.00,0.131195
2386.00,0.132807
2400.00,0.132097
2418.00,0.129726
2440.00,0.130279
2466.00,0.131331
2496.00,0.125499
2528.00,0.118710
2560.00,0.108147
2592.00,0.093778
2624.00,0.091260
2656.00,0.108023
2688.00,0.094180
2720.00,0.109822
2752.00,0.103613
2784.00,0.105000
2816.00,0.098503
