wavelength_nm,reflectance
1433.50,0.451780
1438.50,0.455260
1443.50,0.457981
1448.50,0.460710
1453.50,0.463992
1458.50,0.468423
1463.50,0.472663
1468.50,0.475784
1473.50,0.478453
1478.50,0.483644
1483.50,0.485249
1488.50,0.487921
1493.50,0.489607
1498.50,0.494557
1503.50,0.494723
1508.50,0.496904
1513.50,0.499472
1518.50,0.500375
1523.50,0.504298
1528.50,0.506285
1534.00,0.509856
1540.00,0.511284
1546.00,0.515493
1552.00,0.519122
1558.00,0.520730
1564.00,0.523549
1570.50,0.528182
1577.50,0.529332
1584.50,0.533588
1591.50,0.538089
1598.50,0.540733
1605.50,0.543555
1612.50,0.547310
1619.50,0.550210
1626.50,0.551792
1633.50,0.556473
1640.50,0.559760
1647.50,0.560998
1654.50,0.564371
1661.50,0.566056
1668.50,0.567715
1676.00,0.569599
1684.00,0.575725
1692.00,0.577248
1700.00,0.581632
1708.00,0.581214
1716.00,0.582565
1724.00,0.585778
1732.00,0.589239
1740.00,0.589175
1748.00,0.592383
1756.00,0.591658
1764.00,0.591840
1772.00,0.595415
1780.00,0.595911
1788.00,0.594946
1796.00,0.594232
1805.00,0.593232
1815.00,0.591318
1825.00,0.590407
1835.00,0.587694
1845.00,0.584733
1855.00,0.578952
1865.00,0.575495
1875.00,0.562955
1885.00,0.554426
1895.00,0.543617
1905.00,0.540115
1915.00,0.543872
1925.00,0.542813
1935.00,0.545630
1945.00,0.541585
1955.00,0.541014
1965.00,0.540554
1975.00,0.535676
1985.00,0.530507
1995.00,0.530341
2005.00,0.530086
2015.00,0.535043
2025.00,0.541352
2035.00,0.538093
2045.00,0.533814
2055.00,0.534361
2065.00,0.530155
2075.00,0.524558
2085.00,0.517520
2095.00,0.511350
2105.00,0.486234
2115.00,0.488016
2125.00,0.494217
2135.00,0.495613
2145.00,0.495636
2155.00,0.495777
2165.00,0.492974
2175.00,0.485807
2185.00,0.483799
2195.00,0.476002
2205.00,0.469262
2215.00,0.458690
2225.00,0.445786
2235.00,0.421786
2245.00,0.411065
2255.00,0.389798
2265.00,0.349608
2275.00,0.310377
2285.00,0.255763
2295.00,0.220933
2305.00,0.210211
2315.00,0.233970
2325.00,0.306857
2335.00,0.341298
2345.00,0.345375
2355.00,0.329124
2365.00,0.292528
2375.00,0.252001
2386.00,0.283046
2400.00,0.325977
2418.00,0.327080
2440.00,0.311814
2466.00,0.312944
2496.00,0.324471
2528.00,0.325399
2560.00,0.330049
2592.00,0.342222
2624.00,0.334486
2656.00,0.207215
2688.00,0.115799
2720.00,0.089294
2752.00,0.110909
2784.00,0.106585
2816.00,0.113228
2848.00,0.100690
2880.00,0.105491
2912.00,0.115467
2944.00,0.127712
