wavelength_nm,reflectance
1433.50,0.773490
1438.50,0.776439
1443.50,0.778976
1448.50,0.782461
1453.50,0.784008
1458.50,0.779193
1463.50,0.784097
1468.50,0.784643
1473.50,0.785065
1478.50,0.789369
1483.50,0.789087
1488.50,0.787560
1493.50,0.788208
1498.50,0.790131
1503.50,0.789056
1508.50,0.790626
1513.50,0.791191
1518.50,0.789645
1523.50,0.792202
1528.50,0.796035
1534.00,0.793794
1540.00,0.791724
1546.00,0.794744
1552.00,0.795468
1558.00,0.793704
1564.00,0.794399
1570.50,0.792711
1577.50,0.790929
1584.50,0.796840
1591.50,0.787010
1598.50,0.793186
1605.50,0.786030
1612.50,0.785892
1619.50,0.784680
1626.50,0.786703
1633.50,0.779109
1640.50,0.778165
1647.50,0.775645
1654.50,0.773178
1661.50,0.767410
1668.50,0.768016
1676.00,0.763349
1684.00,0.754407
1692.00,0.747802
1700.00,0.735485
1708.00,0.729492
1716.00,0.720132
1724.00,0.712431
1732.00,0.701746
1740.00,0.706874
1748.00,0.711749
1756.00,0.706206
1764.00,0.726891
1772.00,0.726407
1780.00,0.708844
1788.00,0.686259
1796.00,0.664605
1805.00,0.642576
1815.00,0.625892
1825.00,0.629400
1835.00,0.628150
1845.00,0.630078
1855.00,0.634586
1865.00,0.639310
1875.00,0.641080
1885.00,0.645531
1895.00,0.641288
1905.00,0.637168
1915.00,0.632019
1925.00,0.632969
1935.00,0.624061
1945.00,0.616597
1955.00,0.612075
1965.00,0.598310
1975.00,0.577769
1985.00,0.564311
1995.00,0.554066
2005.00,0.544988
2015.00,0.519771
2025.00,0.506750
2035.00,0.480482
2045.00,0.421991
2055.00,0.357999
2065.00,0.341639
2075.00,0.357073
2085.00,0.358544
2095.00,0.333055
2105.00,0.287858
2115.00,0.343933
2125.00,0.430948
2135.00,0.439232
2145.00,0.437121
2155.00,0.437345
2165.00,0.424649
2175.00,0.407398
2185.00,0.394295
2195.00,0.377425
2205.00,0.373649
2215.00,0.356703
2225.00,0.354289
2235.00,0.360157
2245.00,0.352964
2255.00,0.336485
2265.00,0.336667
2275.00,0.321157
2285.00,0.314944
2295.00,0.324445
2305.00,0.326300
2315.00,0.295394
2325.00,0.267603
2335.00,0.249469
2345.00,0.233891
2355.00,0.221288
2365.00,0.212892
2375.00,0.193736
2386.00,0.148397
2400.00,0.055842
2418.00,0.027382
2440.00,0.036656
2466.00,0.068456
2496.00,0.084735
2528.00,0.082676
2560.00,0.106579
2592.00,0.109267
2624.00,0.122089
2656.00,0.128724
