wavelength_nm,reflectance
1433.50,0.381569
1438.50,0.356430
1443.50,0.266079
1448.50,0.202597
1453.50,0.324332
1458.50,0.429859
1463.50,0.468041
1468.50,0.482119
1473.50,0.507127
1478.50,0.539371
1483.50,0.563387
1488.50,0.574870
1493.50,0.584207
1498.50,0.590157
1503.50,0.594353
1508.50,0.592995
1513.50,0.598932
1518.50,0.599044
1523.50,0.598141
1528.50,0.596694
1534.00,0.597711
1540.00,0.595983
1546.00,0.592596
1552.00,0.591474
1558.00,0.591092
1564.00,0.587585
1570.50,0.585053
1577.50,0.587521
1584.50,0.582238
1591.50,0.582139
1598.50,0.577000
1605.50,0.574431
1612.50,0.568031
1619.50,0.561015
1626.50,0.555230
1633.50,0.545705
1640.50,0.540386
1647.50,0.526719
1654.50,0.520389
1661.50,0.511439
1668.50,0.499727
1676.00,0.474530
1684.00,0.439447
1692.00,0.402007
1700.00,0.368644
1708.00,0.347085
1716.00,0.329044
1724.00,0.338534
1732.00,0.370850
1740.00,0.426311
1748.00,0.468164
1756.00,0.490511
1764.00,0.495808
1772.00,0.492564
1780.00,0.487905
1788.00,0.482419
1796.00,0.475254
1805.00,0.464490
1815.00,0.449783
1825.00,0.424014
1835.00,0.397958
1845.00,0.370808
1855.00,0.339436
1865.00,0.323262
1875.00,0.315769
1885.00,0.302950
1895.00,0.295518
1905.00,0.296570
1915.00,0.295179
1925.00,0.294859
1935.00,0.280472
1945.00,0.265388
1955.00,0.260152
1965.00,0.261172
1975.00,0.257432
1985.00,0.246802
1995.00,0.242393
2005.00,0.235050
2015.00,0.236195
2025.00,0.233658
2035.00,0.224538
2045.00,0.202729
2055.00,0.170399
2065.00,0.129260
2075.00,0.112731
2085.00,0.095221
2095.00,0.080094
2105.00,0.081014
2115.00,0.082718
2125.00,0.091463
2135.00,0.121028
2145.00,0.125395
2155.00,0.147073
2165.00,0.234480
2175.00,0.275000
2185.00,0.297535
2195.00,0.295100
2205.00,0.301175
2215.00,0.284503
2225.00,0.279517
2235.00,0.255148
2245.00,0.216034
2255.00,0.156511
2265.00,0.151747
2275.00,0.192385
2285.00,0.220422
2295.00,0.232485
2305.00,0.217519
2315.00,0.180172
2325.00,0.133817
2335.00,0.107848
2345.00,0.085502
2355.00,0.075178
2365.00,0.074833
2375.00,0.062489
2386.00,0.055901
2400.00,0.068469
2418.00,0.074283
2440.00,0.095402
2466.00,0.090133
2496.00,0.063720
2528.00,0.039045
2560.00,0.026352
2592.00,0.029745
2624.00,0.049134
2656.00,0.032262
2688.00,0.036254
